awards[0].contractPeriod.endDate	awards[0].contractPeriod.startDate	awards[0].description	awards[0].id	awards[0].status	awards[0].suppliers[0].id	awards[0].suppliers[0].name	awards[0].title	awards[0].value.amount	awards[0].value.currency	contracts[0].awardID	contracts[0].description	contracts[0].id	contracts[0].implementation.transactions[0].date	contracts[0].implementation.transactions[0].id	contracts[0].implementation.transactions[0].payee.id	contracts[0].implementation.transactions[0].payee.name	contracts[0].implementation.transactions[0].payer.id	contracts[0].implementation.transactions[0].payer.name	contracts[0].implementation.transactions[0].value.amount	contracts[0].implementation.transactions[0].value.currency	contracts[0].period.endDate	contracts[0].period.startDate	contracts[0].status	contracts[0].title	contracts[0].value.amount	date	id	initiationType	planning.documents[0].dateModified	planning.documents[0].datePublished	planning.documents[0].description	planning.documents[0].documentType	planning.documents[0].title	planning.documents[0].url	planning.documents[1].format	tag[0]	tender.additionalProcurementCategories[0]	tender.awardCriteria	tender.awardCriteriaDetails	tender.description	tender.documents[0].dateModified	tender.documents[0].datePublished	tender.documents[0].description	tender.documents[0].documentType	tender.documents[0].format	tender.documents[0].title	tender.documents[0].url	tender.enquiryPeriod.endDate	tender.enquiryPeriod.startDate	tender.id	tender.mainProcurementCategory	tender.minValue.amount	tender.minValue.currency	tender.procurementMethod	tender.procurementMethodDetails	tender.procurementMethodRationale	tender.procuringEntity.id	tender.procuringEntity.name	tender.status	tender.title	tender.value.amount	tender.value.currency	state	latitud	longitud	coordenada
2024-10-14T12:10:00Z	2024-01-23T12:01:00Z	ACTA DE FALLO Y ADJUDICACION 	34	active	MX-RFC-SEA190123GQ4-80	 SEASO, S.A. DE C.V	LIC-CAP-ADQ-001-2024	180507600.0	MXN	34	Adquisicion de bienes y servicios para el programa anual de mantenimiento menor electromecanico de pozos profundos, tanques elevados, sistema de rebombeo  de agua potable  y plantas de tratamiento de aguas residuales 2024, del municipio de Jesus Maria, Ags.	44									2024-10-14T12:10:00Z	2024-01-23T12:01:00Z	active	CONTRATO LIC-CAP-ADQ-001-2024	1805076.0	2024-06-11T10:35:31Z	50	tender	2024-06-11T10:35:32Z	2024-06-11T10:35:32Z	Requiscion para la adquisicion de Programa Anual de Mantenimiento Menor electromecanico de pozos profundos	Requisición	Requisicion	https://drive.google.com/file/d/1DftLNShGI7fhHaJ3whJb5v4C6lBH372Y/view?usp=sharing		contract	Arrendamiento de bienes	singleBidOnly	 Se adjudica a quien oferte el menor monto por el total de las partidas y/o servicios, ademas de cumplir con los requerimientos legales, tecnicos y economicos establecidos en las bases de licitacion	Adquisicion de bienes y servicios para el programa anual de mantenimiento menor electromecanico etapa 1 de pozos profudos, tanques elevados, sistema de rebombeo de agua potable y plantas de tratamiento  de aguas residuales 2024, del municipio de Jesus Maria, Ags.	2024-06-11T10:35:32Z	2024-06-11T10:35:32Z	Minuta de Junta de aclaracion de dudas LIC-CAP-ADQ-001-2024	Acta de junta de aclaraciones	PDF	Acta Aclaracion de Dudas	https://drive.google.com/file/d/1WtCcN0Sun90CrMDV0iivnctbFdJQM1Lk/view?usp=sharing	2024-01-15T12:01:00Z	2024-01-15T12:01:00Z	LIC-CAP-ADQ-001-2024	services	72203040.0	MXN	selective	Invitación a cuando menos tres personas	Articulo 39, tercer parrafo de la ley de Adquisiciones, Arrendamientos y Servicios del Estado de Aguascalientes y sus Municipios.	MX-RFC-CAP9510013B8	COMISION DE AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DEL MUNICIPIO DE JESUS MARIA	active	LIC-CAP-ADQ-001-2024 ADQUISICION DE BIENES Y SERVICIOS	180507600.0	MXN	Aguascalientes	21.885256	-102.291567	(21.885256, -102.291567)
2024-10-14T12:10:00Z	2024-01-23T12:01:00Z	ACTA DE FALLO Y ADJUDICACION  LIC-CAP-ADQ-003-2024	37	active	MX-RFC-ESU020115HA1-86	 ELECTROBOMBAS SUMERGIBLES, S.A. DE C.V.	FALLO Y ADJUDICACION	1805076.0	MXN	37	PROGRAMA ANUAL DE PRESTACION DE SERVICIOS PARA LA REHABILITACION DE POZOS PROFUNDOS	49									2024-10-14T12:10:00Z	2024-01-23T12:01:00Z	active	CONTRATO LIC-CAP-ADQ-003-2024	1805076.0	2024-06-11T10:35:31Z	54	tender	2024-06-11T10:35:32Z	2024-06-11T10:35:32Z	REQUISICION No. DT007 MANTENIMIENTO DE MAQUINARIA	Requisición	REQUISICION	https://drive.google.com/file/d/1X_NAr0QYalvlcyE6Znk8QTNZQouNGW_1/view?usp=sharing		contract	Servicios relacionados con obras públicas	singleBidOnly	"SE EVALUAN LAS PROPUESTAS Y SE ADJUDICA A QUIEN OFERTE
EL MENOR MONTO POR EL TOTAL DE LAS PARTIDAS Y/O SERVICIOS."	PROGRAMA ANUAL DE PRESTACION DE SERVICIOS PARA LA REHABILITACION DE POZOS PROFUNDOS ETAPA 1, 2024 DEL MUNICIPIO DE JESUS MARIA, AGS.	2024-06-11T10:35:32Z	2024-06-11T10:35:32Z	MINUTA DE JUNTA DE ACLARACION DE DUDAS	Acta de junta de aclaraciones	PDF	JUNTA DE ACLARACION DE DUDAS	https://drive.google.com/file/d/1ka7rDot21uVu8zrpiF1Pf-I67XyW8faa/view?usp=sharing	2024-01-15T12:01:00Z	2024-01-15T12:01:00Z	LIC-CAP-ADQ-003-2024	services	722030.4	MXN	selective	Invitación a cuando menos tres personas	ARTICULO 39 TERCER PARRAFO  DE LA LEY DE ADQUISICIONS, ARRENDAMIENTOS Y SERVICIOS DEL ESTADO DE AGUASCALIENTES Y SUS MUNICIPIOS	MX-RFC-CAP9510013B8	COMISION DE AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DEL MUNICIPIO DE JESUS MARIA		REHABILITACION DE POZOS PROFUNDOS ETAPA 1 2024	1805076.0	MXN	Aguascalientes	21.885256	-102.291567	(21.885256, -102.291567)
2024-10-14T12:10:00Z	2024-01-23T12:01:00Z	ACTA DE FALLO Y ADJUDICACION  LIC-CAP-ADQ-002-2024	36	active	MX-RFC-MEDH921124JT3-83	 HORACIO MEDINA DOMINGUEZ 	FALLO Y ADJUDICACION	1805076.0	MXN	36	ADQUISICION DE BIENES Y SERVICIOS PARA EL PROGRAMA ANUAL DE MANTENIMIENTO MAYOR ELECTROMECANICO DE POZOS PROFUNDOS DEL MUNICIPIO DE JESUS MARIA, AGS.	47									2024-10-14T12:10:00Z	2024-01-23T12:01:00Z	active	CONTRATO LIC-CAP-ADQ-002-2024	1805076.0	2024-06-11T10:35:31Z	53	tender	2024-06-11T10:35:32Z	2024-06-11T10:35:32Z	Requisicion LIC-CAP-ADQ-002-2024	Requisición	Requisicion 	https://drive.google.com/file/d/1PSNAbn9aUGquz8t9UB8vP_TntxIJ47mD/view?usp=sharing		contract	Servicios relacionados con obras públicas	singleBidOnly	"SE EVALUAN LAS PROPUESTAS Y SE ADJUDICA A QUIEN OFERTE
EL MENOR MONTO POR EL TOTAL DE LAS PARTIDAS Y/O SERVICIOS."	ADQUISICION DE BIENES Y SERVICIOS PARA EL PROGRAMA ANUAL 2024 ETAPA 1 DE MANTENIMIENTO MAYOR ELECTROMECANICO DE POZOS PROFUNDOS, TANQUES ELEVADOS, SISTEMA DE REBOMBEO DE AGUA POTABLE Y PLANTAS DE TRATAMIENTO DE AGUAS RESIDUALES  DEL MUNICIPIO DE JESUS MARIA, AGS	2024-06-11T10:35:32Z	2024-06-11T10:35:32Z	MINUTA DE JUNTA DE ACLARACION DE DUDAS LIC-CAP-ADQ-002-2024	Acta de junta de aclaraciones	PDF	JUNTA DE ACLARACION	https://drive.google.com/file/d/1OPzi4rThSMZJ65RIv_01x8xbCuEVVKav/view?usp=sharing	2024-01-15T12:01:00Z	2024-01-15T12:01:00Z	LIC-CAP-ADQ-002-2024	services	722030.4	MXN	selective	Invitación a cuando menos tres personas	ARTICULO 39, TERCER PARRAFO DE LA LEY DE ADQUISICIONES , ARRENDAMIENTOS Y SERVICIOS DEL ESTADO DE AGUASCALIENTES Y SUS MUNICIPIOS	MX-RFC-CAP9510013B8	COMISION DE AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DEL MUNICIPIO DE JESUS MARIA		ADQUISICIO DE BIENES Y SERVICIOS PARA EL PROGRAMA ANUAL DE MANTENIMIENTO MAYOR DE POZOS PROFUNDOS	1805076.0	MXN	Aguascalientes	21.885256	-102.291567	(21.885256, -102.291567)
2024-12-31T12:12:00Z	2024-01-01T12:01:00Z	ADJUDICACION DIRECTA POR TABLA COMPARATIVA	86	active	MX-RFC-CSP140122QI0-270	 CORPORATIVO EN SEGURIDAD PRIVADA SPEAL SA DE CV	ADJUDICACION DIRECTA	360528.0	MXN	86	CUMPLIMIENTO DEL SERVICIO	75									2024-12-31T12:12:00Z	2024-01-01T12:01:00Z	active	CONT/DAF/01/2024	360528.0	2024-06-11T10:35:29Z	249	tender								contract	Servicios	bestValueToGovernment	COSTO BENEFICIO	SEGURIDAD PRIVADA EN LAS INSTALACIONES DEL INSTITUTO DE TRANSPARENCIA DEL ESTADO DE AGUASCALINETES	2024-06-11T10:35:32Z	2024-06-11T10:35:32Z	CUADRO COMPARATIVO CON LAS PROPUESTAS DE LOS 3 PROVEEDORES	Documento en donde consta la presentación de las propuestas	EXCEL	CUADRO COMPARATIVO	http://www.itea.org.mx	2023-12-29T12:12:00Z	2023-12-23T12:12:00Z	CONT/DAF/01/2024	services	250000.0	MXN	direct	Adjudicación directa	POR MONTO SE HACE UNA TABLA COMPARATIVA CON 3 PROVEEDORES	MX-RFC-ITE0004027S9	INSTITUTO DE TRANSPARENCIA DEL ESTADO DE AGUASCALIENTES	complete	SEGURIDAD PRIVADA	360528.0	MXN	Aguascalientes	21.885256	-102.291567	(21.885256, -102.291567)
2024-10-14T12:10:00Z	2024-02-01T12:02:00Z	ACTA DE FALLO Y ADJUDICACION LIC-CAP-ADQ-005-2024	39	active	MX-RFC-ROGE780622EM7-91	 ERNESTO DAVID ROMO GARZA	FALLO Y ADJUDICACION	1805076.0	MXN	39	RENTA ANUAL DE PIPA Y VACTOR 2024	51									2024-10-14T12:10:00Z	2024-02-01T12:02:00Z	active	CONTRATO	1805076.0	2024-06-11T10:35:31Z	56	tender	2024-06-11T10:35:32Z	2024-06-11T10:35:32Z	RENTA DE PIPA 2024 DT 59	Requisición	REQUISICION	https://drive.google.com/file/d/1FRkkY_z1ztKNdSjen_aNL8mGX57g1Iuf/view?usp=sharing	PDF	contract	Arrendamiento de bienes	singleBidOnly	"SE EVALUAN LAS PROPUESTAS Y SE ADJUDICA A QUIEN OFERTE
EL MENOR MONTO POR EL TOTAL DE LAS PARTIDAS Y/O SERVICIOS."	RENTA DE CAMION TIPO PIPA CON CAPACIDAD DE 13.000 LITROS Y RENTA DE CAMION VACTOR PARA TRABAJOS DE DESAZOLVE DE DRENAJES, EJERCICIO 2024	2024-06-11T10:35:32Z	2024-06-11T10:35:32Z	MINUTA DE JUNTA DE ACLARACION DE DUDAS	Acta de junta de aclaraciones	PDF	JUNTA DE ACLARACION	https://drive.google.com/file/d/1koRpnKj9mAKt-2dS-Q-GfB37ndf581WS/view?usp=sharing	2024-01-22T12:01:00Z	2024-01-22T12:01:00Z	LIC-CAP-ADQ-005-2024	services	722030.4	MXN	selective	Invitación a cuando menos tres personas	ARTICULO 39, TERCER PARRAFO DE LA LEY DE ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS DEL ESTADO DE AGUASCALIENTES Y SUS MUNICIPIOS	MX-RFC-CAP9510013B8	COMISION DE AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DEL MUNICIPIO DE JESUS MARIA	active	RENTA DE PIPA Y VACTOR 2024	1805076.0	MXN	Aguascalientes	21.885256	-102.291567	(21.885256, -102.291567)
2024-01-15T12:01:00Z	2023-06-09T12:06:00Z	Adjudicación del servicio de dictaminación de los estados financieros de la SESEA para el ejercicio fiscal 2023, por un despacho de auditoría independiente.	44	active	MX-RFC-ECO130909KA9-58	 ELAF  CONSULORÍA. S.C.	POO528	63800.0	MXN	44	Proporcionar en favor de la SESEA, el servicio de análisis contable y financiero para la dictaminación de los estados financieros de la SESEA, con cifras al 31 de diciembre de 2023, emitiendo una opinión profesional independiente, sobre la situación contable y financiera de los mismos estados financieros.	56	2024-06-11T10:35:32Z	37	MX-RFC-ECO130909KA9-58	 ELAF  CONSULORÍA. S.C.	MX-RFC-SES1809244C1	 DSA SESEA AGUASCALIENTES	63800.0	MXN	2024-01-15T12:01:00Z	2023-06-09T12:06:00Z	terminated	Contrato de prestación de servicios profesionales por honorarios de auditoía externa.	63800.0	2024-06-11T10:35:30Z	96	tender	2024-06-11T10:35:32Z	2024-06-11T10:35:32Z	Requisición de servicio para la dictaminación de los estados financieros de la SESEA, por un despacho independiente	Requisición	Requisión de compra S3009	https://drive.google.com/file/d/12NQ97lsdaY0jVX0q268QbNtgmRzw-m8x/view?usp=sharing		implementation	Servicios	priceOnly	Se seleccionará al proveedor que oferte el mejor precio, cumpliendo con las características solicitadas por el área requiriente.	Proporcionar en favor de la SESEA, el servicio de análisis contable y financiero para la dictaminación de los estados financieros de la SESEA, con cifras al 31 de diciembre de 2023, emitiendo una opinión profesional independiente, sobre la situación contable y financiera de los mismos estados financieros.	2024-06-11T10:35:32Z	2024-06-11T10:35:32Z	Tabla comparativa de las cotizaciones presentadas por los proveedores invitados a cotizar	Documento en donde consta la presentación de las propuestas	pdf	Tabla comparativa	https://drive.google.com/file/d/1vbw4BS5WVlb_7cYRR5wK_k-iv15XmlOJ/view?usp=sharing	2023-06-06T12:06:00Z	2023-06-05T12:06:00Z	POO528	services	0.0	MXN	selective	Adjudicación directa	Artículo 39 y 64 de la Ley de Adquisiciones, arrendamientos y Servicios del Estado de Aguascalientes y sus Municipios; preeve la adquisición de bienes cuyo monto no exceda las 3000 UMAS sin IVA incluido, a través del procedimiento de adjudicación directa por tabla comparativa.	MX-RFC-SES1809244C1	SECRETARIA EJECUTIVA DEL SISTEMA ESTATAL ANTICORRUPCION	complete	Servicio de dictaminación de estados financieros de la SESEA 2023 por un despacho independiente	63800.0	MXN	Aguascalientes	21.885256	-102.291567	(21.885256, -102.291567)
2024-01-11T12:01:00Z	2024-01-04T12:01:00Z	CONTRATO DE PRESTACIÓN DE SERVICIOS PROFESIONALES PARA LA APLICACIÓN DE LA ENCUESTA DE CLIMA LABORAL ANALISIS DE RESULTADOS.	110	active	MX-RFC-PSP040106BG8-372	 (HR WISE) PRESTADORA DE SERVICIOS PROFESIONALES DE AGUASCALIENTES S.C.	APLICACION ENCUESTA CLIMA LABORAL ANALISIS DE RESULTADOS.	114004.8	MXN	110	CONTRATO DE PRESTACIÓN DE SERVICIOS PROFESIONALES PARA LA APLICACIÓN DE LA ENCUESTA DE CLIMA LABORAL ANALISIS DE RESULTADOS.	99	2024-06-11T10:35:32Z	39	MX-RFC-PSP040106BG8-372	 (HR WISE) PRESTADORA DE SERVICIOS PROFESIONALES DE AGUASCALIENTES S.C.	MX-RFC-STJ751231L25	 DIRECCION DE CONTABILIDAD	114004.8	MXN	2024-01-11T12:01:00Z	2024-01-04T12:01:00Z	terminated	APLICACION ENCUESTA CLIMA LABORAL ANALISIS DE RESULTADOS.	114004.8	2024-06-11T10:35:28Z	321	tender	2024-06-11T10:35:32Z	2024-06-11T10:35:32Z	CONTRATO DE PRESTACIÓN DE SERVICIOS PROFESIONALES PARA LA APLICACIÓN DE LA ENCUESTA DE CLIMA LABORAL ANALISIS DE RESULTADOS.	Justificación de la contratación	APLICACION ENCUESTA CLIMA LABORAL ANALISIS DE RESULTADOS.	https://poderjudicialags-my.sharepoint.com/:b:/g/personal/compras1_poderjudicialags_gob_mx/EcEn8bIL7ztDs5dC20fD6oMB028tlHl7_TFgVcDnS_2ugw?e=ukDeMx		implementation	Servicios	priceOnly	"LICITACIÓN DECLARADA DESIERTA, DE CNROMIDAD CON EL ARTÍCULO 217 DEL REGLAMENTO DE ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS DEL MUNICIPIO DE AGUASCALIENTES, SE LLEVÓ A CABO EL PROCEDIMIENTO DE COMPRA DIRECTA.
"	CONTRATO DE PRESTACIÓN DE SERVICIOS PROFESIONALES PARA LA APLICACIÓN DE LA ENCUESTA DE CLIMA LABORAL ANALISIS DE RESULTADOS.	2024-06-11T10:35:32Z	2024-06-11T10:35:32Z	CONTRATO DE PRESTACIÓN DE SERVICIOS PROFESIONALES PARA LA APLICACIÓN DE LA ENCUESTA DE CLIMA LABORAL ANALISIS DE RESULTADOS.	Autorización del ejercicio de la opción	PDF	APLICACION ENCUESTA CLIMA LABORAL ANALISIS DE RESULTADOS.	https://poderjudicialags-my.sharepoint.com/:b:/g/personal/compras1_poderjudicialags_gob_mx/EcEn8bIL7ztDs5dC20fD6oMB028tlHl7_TFgVcDnS_2ugw?e=equ9Ox	2024-01-11T12:01:00Z	2024-01-04T12:01:00Z	APLICACION ENCUESTA CLIMA LABORAL ANALISIS DE RESULTADOS.	services	114004.8	MXN	direct	Adjudicación directa	CONTRATO DE PRESTACIÓN DE SERVICIOS PROFESIONALES PARA LA APLICACIÓN DE LA ENCUESTA DE CLIMA LABORAL ANALISIS DE RESULTADOS.	MX-RFC-XAX010101XXX-74	SUPREMO TRIBUNAL DE JUSTICIA DE AGUASCALIENTES		APLICACION ENCUESTA CLIMA LABORAL ANALISIS DE RESULTADOS.	114004.8	MXN	Aguascalientes	21.885256	-102.291567	(21.885256, -102.291567)
2024-10-14T12:10:00Z	2024-01-23T12:01:00Z	ACTA DE FALO Y ADJUDICACION LIC-CAP-ADQ-004-2024	38	active	MX-RFC-MUML8004197G9-89	 LAURA MUÑOZ MUÑOZ	FALLO Y ADJUDICACION	1805076.0	MXN	38	ADQUISICION DE MEDIDORES DE AGUA POTABLE 2024	50									2024-10-14T12:10:00Z	2024-01-23T12:01:00Z	active	CONTRATO LIC-CAP-ADQ-004-2024	1805076.0	2024-06-11T10:35:31Z	55	tender	2024-06-11T10:35:32Z	2024-06-11T10:35:32Z	REQUISICION AC-001 ADQUISICION DE MEDIDORES 2024	Requisición	REQUISICION 	https://drive.google.com/file/d/18A4GXzm2CgsRoN-oOgwFSWL0cO855ELu/view?usp=sharing		contract	Adquisición de bienes	singleBidOnly	"SE EVALUAN LAS PROPUESTAS Y SE ADJUDICA A QUIEN OFERTE
EL MENOR MONTO POR EL TOTAL DE LAS PARTIDAS Y/O SERVICIOS.
"	"ADQUISICION DE MEDIDORES DE AGUA POTABLE  DE 15 MM (1/2"") DE DIAMETRO, TIPO VELOCIDAD Y CHORRO MULTIPLE PARA UN GASTO PERMANENTE  DE 1.5 M3/H. Y UN GASTO DE SOBRECARGA DE 3M3/H."	2024-06-11T10:35:32Z	2024-06-11T10:35:32Z	MINUTA DE JUNTA DE ACLARACION DE DUDAS	Acta de junta de aclaraciones	PDF	JUNTA DE ACLARACION DE DUDAS	https://drive.google.com/file/d/16-sgXdYx8fomhGcu0K6u1LMLuKomdcw5/view?usp=sharing	2024-01-15T12:01:00Z	2024-01-15T12:01:00Z	LIC-CAP-ADQ-004-2024	goods	722030.4	MXN	selective	Invitación a cuando menos tres personas	ARTICULO 39, TERCER PARRAFO DE LA LEY DE ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS DEL ESTADO DE AGUASCALIENTES Y SUS MUNICIPIOS	MX-RFC-CAP9510013B8	COMISION DE AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DEL MUNICIPIO DE JESUS MARIA		ADQUISICION DE MEDIDORES  DE AGUA POTABLE 2024	1805076.4	MXN	Aguascalientes	21.885256	-102.291567	(21.885256, -102.291567)
2025-02-28T12:02:00Z	2024-03-01T12:03:00Z	CONTRATACION DEL SERVICIO DE TELEFONIA E INTERNET DEDICADO DE 200 MIIPS, EL PERIODO COMPRENDIDO DEL 01 DE MARZO DE 2024 Al 28 DE FEBRERO DE 2025, REQUERIDOS POR LA FISCALlA GENERAL DEL ESTADO DE AGUASCALlENTES	46	active	MX-RFC-AXT940727FP8-154	 AXTEL S.A.B. DE C.V.	PROCEDIMIENTODE ADJUDICACiÓN DIRECTA PORTABLA COMPARATIVA	257520.0	MXN	46	CONTRATACIÓN DEL SERVICIO DE TELEFONÍA E INTERNET DEDICADO DE 200 MBPS, POR EL PERIODO COMPRENDIDO DEL 01 DE MARZO DE 2024 AL 28 DE FEBRERO DE 2025,REQUERIDOS POR LA FISCALÍA GENERAL DEL ESTADO DE AGUASCALIENTES.	59									2025-02-28T12:02:00Z	2024-03-01T12:03:00Z	active	EMISIÓNY NOTIFICACÍÓNDE FALLO DE LA ADJUDICACiÓN DIRECTAPORTABLA COMPARATIVA No. ADTC·02·FGE·2024.	257520.0	2024-06-11T10:35:31Z	48	tender	2024-06-11T10:35:32Z	2024-06-11T10:35:32Z	Contratación del Servicio de Telefonía e Internet dedicado de 200 MBPS, requeridos por la Fiscalía General del Estado de Aguascalientes, por el periodo comprendido del 01 de marzo de 2024 al 28 de febrero de 2025.	Requisición	ADTC-02-FGE-2024	https://drive.google.com/file/d/1i9XnnFAFIKWb__d-ma3Hn0BFarIdBBXg/view?usp=sharing		contract	Servicios	priceOnly	Derivado del monto reflejado en la investigacion de mercado y la autorizacion presupuestal, se determina que el ragno de encuentra dentro de 350 a 3000 UMA, por tal  motivo se procede a realizar la adjudicacion directa por tabla comparativa conforme a lo establecido en el articulo 39 de la Ley de Adquisiciones, Arrendamientos y Servicios del Estado de Aguascalientes y sus Municipios; art 15 y 19 del Manual Unico de Adquisiciones, Arrendamientos y Servicios de la Fiscalia General del Estado de Aguascalientes	Contratación del Servicio de Telefonía e Internet dedicado de 200 MBPS, requeridos por la Fiscalía General del Estado de Aguascalientes, por el periodo comprendido del 01 de marzo de 2024 al 28 de febrero de 2025.	2024-06-11T10:35:32Z	2024-06-11T10:35:32Z	PROCEDIMIENTO DE ADJUDICACÍÓN DIRECTA POR TABLA COMPARATIVA ADTC-02-FGE-2024, Servicio de Telefonía e Internet dedicado de 200 MBPS, requeridos por la Fiscalía General del Estado de Aguascalientes.	Documento en donde consta la presentación de las propuestas	PDF	PROCEDIMIENTO DE ADJUDICACÍÓN DIRECTA POR TABLA COMPARATIVA	https://drive.google.com/file/d/1fw7c2bmmBFquiuPe-kPnM7xawPTAl-uI/view?usp=sharing	2024-02-22T12:02:00Z	2024-02-22T12:02:00Z	ADTC-02-FGE-2024	services	354960.0	MXN	direct	Adjudicación directa	Derivado del monto reflejado en la investigacion de mercado y la autorizacion presupuestal, se determina que el ragno de encuentra dentro de 350 a 3000 UMA, por tal  motivo se procede a realizar la adjudicacion directa por tabla comparativa conforme a lo establecido en el articulo 39 de la Ley de Adquisiciones, Arrendamientos y Servicios del Estado de Aguascalientes y sus Municipios; art 15 y 19 del Manual Unico de Adquisiciones, Arrendamientos y Servicios de la Fiscalia General del Estado de Aguascalientes	MX-RFC-SFI011030DU4	FISCALIA GENERAL DEL ESTADO	complete	ADTC-02-FGE-2024	354960.0	MXN	Aguascalientes	21.885256	-102.291567	(21.885256, -102.291567)
2024-12-31T12:12:00Z	2024-01-01T12:01:00Z	Servicios de limpieza para las oficinas de la SESEA durante el ejercicio fiscal 2024	45	active	MX-RFC-PECH7903089M3	 Grant Limpieza y Mantenimiento	P00052	154999.0	MXN	45	Proporcional a la SESEA el servicio de limpieza y aseo con el personal para el efecto designado, así como con el equipo, materiales y sistemas de limpieza que cumplan con los requisitos y las características generales y normas de calidad aprobadas para su uso.	57									2024-12-31T12:12:00Z	2024-01-01T12:01:00Z	active	CONTRATO DE SERVICIOS DE LIMPIEZA Y ASEO   2024	154999.0	2024-06-11T10:35:30Z	103	tender	2024-06-11T10:35:32Z	2024-06-11T10:35:32Z	REQUISICIÓN DEL SERVICIO DE LIMPIEZA PARA LAS OFICINAS DE LA SESEA Y DEL CPC, DURANTE EL EJERCICIO FISCAL 2024	Aviso de audiencia públic	REQUISICIÓN DEL SERVICIO DE LIMPIEZA	https://drive.google.com/file/d/1IGlcr3_soH7T1X3_ZRfHf1i_7qzJEf8K/view?usp=sharing		contract	Servicios	priceOnly	Se seleccionará al proveedor que oferte el mejor precio, cumpliendo con las características solicitadas por el área requiriente.	Contratación de servicios de limpieza para el ejercicio fiscal 2024, 	2024-06-11T10:35:32Z	2024-06-11T10:35:32Z	Tabla comparativa de las cotizaciones presentadas por los proveedores para el servicio de limpieza ejercicio fiscal 2024	Documento en donde consta la presentación de las propuestas	pdf	Tabla comparativa	https://drive.google.com/file/d/1-B8Q_sDLrKPtJ5rKSUl--iNUhSAHHKqw/view?usp=sharing	2023-12-20T12:12:00Z	2023-12-19T12:12:00Z	P00052	services	0.0	MXN	selective	Adjudicación directa	Artículo 39 y 64 de la Ley de Adquisiciones, arrendamientos y Servicios del Estado de Aguascalientes y sus Municipios; preeve la adquisición de bienes cuyo monto no exceda las 3000 UMAS sin IVA incluido, a través del procedimiento de adjudicación directa por tabla comparativa.	MX-RFC-SES1809244C1	SECRETARIA EJECUTIVA DEL SISTEMA ESTATAL ANTICORRUPCION	complete	Contratación de servicios de limpieza 2024	154999.0	MXN	Aguascalientes	21.885256	-102.291567	(21.885256, -102.291567)
