contracts[0].implementation.transactions[0].value.amount,contracts[0].value.amount,sumid.impletrans,resta.impletrans,porc.impletrans,flag.impletrans
0.0,0.0,0.0,0.0,,1
0.0,197144.19,0.0,-197144.19,-1.0,1
0.0,700000.0,0.0,-700000.0,-1.0,1
0.0,276480.0,0.0,-276480.0,-1.0,1
0.0,93096.96,0.0,-93096.96,-1.0,1
0.0,226854.79,0.0,-226854.79,-1.0,1
0.0,614902.76,0.0,-614902.76,-1.0,1
0.0,950194.93,0.0,-950194.93,-1.0,1
0.0,384680.36,0.0,-384680.36,-1.0,1
0.0,1942794.0,0.0,-1942794.0,-1.0,1
114004.8,114004.8,114004.8,0.0,0.0,1
88244.1,88244.1,88244.1,0.0,0.0,1
0.0,63735.55,0.0,-63735.55,-1.0,1
77895.0,77895.0,77895.0,0.0,0.0,1
7983.42,4214965.79,7983.42,-4206982.37,-0.9981059348052265,1
0.0,839328.16,0.0,-839328.16,-1.0,1
0.0,579893.35,0.0,-579893.35,-1.0,1
0.0,1019027.0299999999,0.0,-1019027.0299999999,-1.0,1
0.0,946095.14,0.0,-946095.14,-1.0,1
0.0,722983.13,0.0,-722983.13,-1.0,1
0.0,1008136.41,0.0,-1008136.41,-1.0,1
0.0,149848.8,0.0,-149848.8,-1.0,1
0.0,1317267.75,0.0,-1317267.75,-1.0,1
0.0,1242061.86,0.0,-1242061.86,-1.0,1
0.0,5568000.0,0.0,-5568000.0,-1.0,1
0.0,26.0,0.0,-26.0,-1.0,1
0.0,3433.0,0.0,-3433.0,-1.0,1
0.0,283263.33,0.0,-283263.33,-1.0,1
0.0,623246.91,0.0,-623246.91,-1.0,1
0.0,3.0,0.0,-3.0,-1.0,1
0.0,1616000.0,0.0,-1616000.0,-1.0,1
0.0,1872000.0,0.0,-1872000.0,-1.0,1
0.0,116883.12,0.0,-116883.12,-1.0,1
0.0,310344.83,0.0,-310344.83,-1.0,1
0.0,505975.0,0.0,-505975.0,-1.0,1
0.0,320990.0,0.0,-320990.0,-1.0,1
0.0,29074.01,0.0,-29074.01,-1.0,1
0.0,347802.0,0.0,-347802.0,-1.0,1
0.0,978448.27,0.0,-978448.27,-1.0,1
0.0,603448.28,0.0,-603448.28,-1.0,1
202825.0,202825.0,202825.0,0.0,0.0,1
0.0,27980.0,0.0,-27980.0,-1.0,1
0.0,712900.0,0.0,-712900.0,-1.0,1
0.0,5157155.16,0.0,-5157155.16,-1.0,1
0.0,301676.1,0.0,-301676.1,-1.0,1
0.0,3242421.05,0.0,-3242421.05,-1.0,1
0.0,160457.81,0.0,-160457.81,-1.0,1
0.0,736308.0,0.0,-736308.0,-1.0,1
0.0,72670.0,0.0,-72670.0,-1.0,1
0.0,186216.15,0.0,-186216.15,-1.0,1
0.0,328813.63,0.0,-328813.63,-1.0,1
6290.25,865801.0,6290.25,-859510.75,-0.9927347623761118,1
355500.0,1128060.0,355500.0,-772560.0,-0.684857188447423,1
52200.0,890058.91,52200.0,-837858.91,-0.9413521965641578,1
0.0,273401.56,0.0,-273401.56,-1.0,1
0.0,62349.0,0.0,-62349.0,-1.0,1
0.0,700000.0,0.0,-700000.0,-1.0,1
52200.0,52200.0,52200.0,0.0,0.0,1
10464.53,477080.25,10464.53,-466615.72,-0.9780654722135321,1
0.0,181287600.0,0.0,-181287600.0,-1.0,1
0.0,136791.6,0.0,-136791.6,-1.0,1
0.0,1851308.0,0.0,-1851308.0,-1.0,1
0.0,1873753.0,0.0,-1873753.0,-1.0,1
0.0,1898576.0,0.0,-1898576.0,-1.0,1
0.0,2683353.0,0.0,-2683353.0,-1.0,1
0.0,2698276.0,0.0,-2698276.0,-1.0,1
0.0,3909520.0,0.0,-3909520.0,-1.0,1
0.0,325338.0,0.0,-325338.0,-1.0,1
0.0,2377476.0,0.0,-2377476.0,-1.0,1
0.0,252410.0,0.0,-252410.0,-1.0,1
0.0,1169471.0,0.0,-1169471.0,-1.0,1
0.0,544800.0,0.0,-544800.0,-1.0,1
63800.0,1403271.0,63800.0,-1339471.0,-0.9545347976264029,1
0.0,516816.04,0.0,-516816.04,-1.0,1
0.0,154999.0,0.0,-154999.0,-1.0,1
0.0,257520.0,0.0,-257520.0,-1.0,1
0.0,1865481.0,0.0,-1865481.0,-1.0,1
0.0,2310981.23,0.0,-2310981.23,-1.0,1
0.0,15927.0,0.0,-15927.0,-1.0,1
0.0,271666.0,0.0,-271666.0,-1.0,1
0.0,1269000.0,0.0,-1269000.0,-1.0,1
0.0,832375.0,0.0,-832375.0,-1.0,1
0.0,805268.0,0.0,-805268.0,-1.0,1
0.0,1643629.0,0.0,-1643629.0,-1.0,1
0.0,1318763.04,0.0,-1318763.04,-1.0,1
0.0,230812.0,0.0,-230812.0,-1.0,1
0.0,51950000.0,0.0,-51950000.0,-1.0,1
0.0,53609.0,0.0,-53609.0,-1.0,1
0.0,528028.08,0.0,-528028.08,-1.0,1
0.0,4054545.0,0.0,-4054545.0,-1.0,1
0.0,2247701.0,0.0,-2247701.0,-1.0,1
0.0,1322950.0,0.0,-1322950.0,-1.0,1
